probe_id,reference_ts_local,prompt_text,pure_verdict,syke_verdict,zero_verdict,pure_cost_usd,syke_cost_usd,zero_cost_usd,pure_tool_calls,syke_tool_calls,zero_tool_calls
R01,2026-03-07 18:02 PST,"what's the current state of things? what am I working on, what's active, what's the latest?",partial,partial,partial,0.0317532,0.0079152,0.020284200000000002,42,30,27
R02,2026-03-08 15:50 PST,"What did we work on yesterday March 7 2026 and today March 8 2026? List everything — commits, features, fixes, releases, any work at all. Be exhaustive.",fail,fail,partial,0.0,0.0,0.052139399999999995,33,23,33
R03,2026-03-11 12:43 PDT,what was I last working on and what's the current status of synthesis modernization?,partial,partial,partial,0.0183918,0.0479733,0.014583599999999999,33,20,38
R04,2026-03-12 01:04 PDT,give me my work log today PST entire day,fail,fail,fail,0.01351185,0.0082401,0.0,45,41,32
R05,2026-03-12 19:35 PDT,"what are all my current open threads, priorities, and unfinished work? include: research vectors (ACE, GEPA, sleep/dream, filesystem), open bugs, hackathon plans, memory system studies, continual learning research",partial,fail,fail,0.034753950000000006,0.0,0.0,35,12,43
R06,2026-03-13 14:03 PDT,what was I last working on in syke? what was left to do? what were the most recent threads and decisions?,invalid,fail,fail,0.0201507,0.0,0.0,41,32,27
R07,2026-03-13 17:15 PDT,"Yo, you remember all the threads we made yesterday and what we were trying to build, map the timeline for today and yesterday for me in PST, working with syke.",fail,fail,fail,0.00834345,0.0,0.0,23,42,22
R08,2026-03-13 20:22 PDT,okay where are we now,partial,fail,partial,0.01855755,0.0052116,0.0032925000000000003,27,11,9
R09,2026-03-14 16:45 PDT,"Made some edits on observe, give me a sense. What is the updated thread map now",fail,fail,fail,0.0,0.009244800000000001,0.0,42,38,30
R10,2026-03-13 18:21 PDT,"What was the memory tools landscape study? What did we learn about memorix, claude-mem, and other tools? What patterns were worth adopting vs skipping? What is the cross-platform federation gap?",pass,fail,fail,0.03957045,0.0,0.0,38,22,12
R11,2026-03-14 22:22 PDT,"What is the full vision for Observe? Everything we discussed — hook listener, tool reduction, federation, real-time capture, what adapters need to exist, what the complete Observe layer looks like when it's done.",fail,partial,fail,0.004035749999999999,0.0,0.0,36,28,26
R12,2026-03-15 01:08 PDT,"What are all the open threads from the Observe work? Hook listener, tool reduction, real-time capture, federation, anything else that was discussed but not implemented. Give me everything that was mentioned as future work or next steps across all sessions.",partial,partial,fail,0.0366603,0.02986905,0.0,33,29,23
R13,2026-03-14 21:58 PDT,What was the evolution of the adapter-as-compiler concept over the last 3 days? How did we arrive at adapters being compilers from harness-native format to canonical event IR?,fail,partial,fail,0.0,0.0176124,0.0,28,38,35
R14,2026-03-16 12:28 PDT,"where were we last, ask syke. morning",partial,fail,fail,0.04336635,0.0025434,0.00642165,33,13,22
R15,2026-03-16 12:32 PDT,"can we get back to the previous thread of running our tests for observe layer, with real data as if I set up the system fresh in that two week window ?",pass,partial,partial,0.01797195,0.010187700000000001,0.02211675,22,27,17
R16,2026-03-19 12:49 PDT,"what did I work on yesterday March 18 2026 about Syke Synthesis, Syke Map, architecture, skill files, tool reduction, or architectural decisions?",fail,partial,fail,0.0,0.026424000000000003,0.0,26,32,13
R17,2026-03-20 03:15 PDT,"What happened in the last one week? What did I work on, what was built, what broke, what changed? Be thorough — cover all platforms, all sessions, all projects.",fail,fail,partial,0.0,0.0,0.04588110000000001,27,9,37
R18,2026-03-20 18:19 PDT,"what was the design for the syke sandbox and replay harness? what dataset were we supposed to use, what date range, and how was the experiment designed?",partial,invalid,partial,0.020967,0.0102801,0.016416899999999998,35,22,36
R19,2026-03-20 21:48 PDT,what happened last? what was I working on most recently?,pass,fail,pass,0.026923799999999998,0.0147798,0.028397850000000002,35,17,18
